0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Leo The Helper"	 1000	   100		  3		  0		    0		   1
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0	    3	   6          9	         1	 1	1        2
0	    5	   6          9	         1	 1	1        2
0	    9	   6          9	         1	 1	1        2
0	    10     6          9	         1	 1	1        2
0	    13	   6          9	         1	 1	1        2
3	    8	   6          9	         1	 1	1        2
4	    4	   6          9	         1	 1	1        2
4	    9	   6          9	         1	 1	1        2
4	    11	   6          9	         1	 1	1        2
4	    5	   6          9	         1	 1	1        2
4	    12	   6          9	         1	 1	1        2
5	    0	   6          9	         1	 1	1        2
5	    2	   6          9	         1	 1	1        2
5	    3	   6          9	         1	 1	1        2
5	    4	   6          9	         1	 1	1        2
7	    0	   6          9	         1	 1	1        2
7	    2	   6          9	         1	 1	1        2
7	    4	   6          9	         1	 1	1        2
7	    5	   6          9	         1	 1	1        2
7	    6	   6          9	         1	 1	1        2
7	    7	   6          9	         1	 1	1        2
7	    8	   6          9	         1	 1	1        2
7	    10	   6          9	         1	 1	1        2
7	    11	   6          9	         1	 1	1        2
7	    12	   6          9	         1	 1	1        2
8	    0	   6          9	         1	 1	1        2
8	    2	   6          9	         1	 1	1        2
8	    4	   6          9	         1	 1	1        2
8	    5	   6          9	         1	 1	1        2
8	    6	   6          9	         1	 1	1        2
8	    7	   6          9	         1	 1	1        2
8	    8	   6          9	         1	 1	1        2
8	    10	   6          9	         1	 1	1        2
8	    11	   6          9	         1	 1	1        2
8	    12	   6          9	         1	 1	1        2
9	    0	   6          9	         1	 1	1        2
9	    2	   6          9	         1	 1	1        2
9	    4	   6          9	         1	 1	1        2
9	    5	   6          9	         1	 1	1        2
9	    6	   6          9	         1	 1	1        2
9	    7	   6          9	         1	 1	1        2
9	    8	   6          9	         1	 1	1        2
9	    10	   6          9	         1	 1	1        2
9	    11	   6          9	         1	 1	1        2
9	    12	   6          9	         1	 1	1        2
10	    0	   6          9	         1	 1	1        2
10	    2	   6          9	         1	 1	1        2
10	    4	   6          9	         1	 1	1        2
10	    5	   6          9	         1	 1	1        2
10	    6	   6          9	         1	 1	1        2
10	    7	   6          9	         1	 1	1        2
10	    8	   6          9	         1	 1	1        2
10	    10	   6          9	         1	 1	1        2
10	    11	   6          9	         1	 1	1        2
10	    12	   6          9	         1	 1	1        2
11	    0	   6          9	         1	 1	1        2
11	    2	   6          9	         1	 1	1        2
11	    4	   6          9	         1	 1	1        2
11	    5	   6          9	         1	 1	1        2
11	    6	   6          9	         1	 1	1        2
11	    7	   6          9	         1	 1	1        2
11	    8	   6          9	         1	 1	1        2
11	    10	   6          9	         1	 1	1        2
11	    11	   6          9	         1	 1	1        2
11	    12	   6          9	         1	 1	1        2
end
