0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Lucky Coin 3"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
14          41     0          0          0       0      0        0	//gemstone
12          136    0          2          0       0      0        0	//pack life
12          137    0          2          0       0      0        0	//pack creation
12          138    0          2          0       0      0        0	//pack guardian
12          139    0          2          0       0      0        0	//pack gemstone
12          140    0          2          0       0      0        0	//pack harmony
12          141    0          2          0       0      0        0	//pack chaos
12          30     0          2          0       0      0        0	//pack bless
12          31     0          2          0       0      0        0	//pack soul
14          31     0          0          0       0      0        0	//Jewel of guardian
13          64     0          0          0       0      0        0	//Demon
13          65     0          0          0       0      0        0	//Spirit of guardiam
end
