//=================================================================================================================//=================================================================================================================
// - ColorName Max: 7
// - AL  = This bot is only for VIP users
// - Class    = 0,1,2	DW,SM,GM  = 16,17,18	DK,BK,BM  = 32,33,34	Elf,ME,HE
// -	      = 48,49,50 MG,DM    = 64,65,66	DL,LE     = 80,81,82	SU,BS,DS
// -	      = 96,98 RF,FM
// - GensFamily (1 Vanert, 2 Duprian)
// - Attention: if or if put 10 letters in the names of the Bot
//=================================================================================================================
//=================================================================================================================
//BotIndex	Class	Enabled	 ColorName	Zen	PCPoint	MaxLvl	   Name		Map	X	Y	Dir
1
0		34	1	    0		100	0	400	"BufferElfa"	0	145	118	2
1		2	1	    0		100	0	400	"BufferSoul"	0	143	118	2
2		18	1	    0		100	0	400	"BufferBlad"	0	141	118	2
3		82	1	    0		100	0	400	"BufferSUMN"	0	139	118	2
4		66	1	    0		100	0	400	"BufferLord"	0	137	118	2
5		98	1	    0		100	0	400	"BufferRage"	0	135	118	2
end
//=================================================================================================================
//=================================================================================================================
// -   Bot	Only	Active!		GensReq		Gens
// -   Index	_AL	ReqGens		Contribution	Family
2
	0	0	   0	  	100		0
	1	0	   0	  	100		0
	2	0	   0	  	100		0
	3	0	   0	  	100		0
	4	0	   0	  	100		0
	5	0	   0	  	100		0
end
//=================================================================================================================
//=================================================================================================================
// - 0 = Sword	1 = Shield	2 = Helm	3 = Armor	
// - 4 = Pants	5 = Gloves	6 = Boots	7 = Wings	8 = Pet


// - BotIndex	Slot	Type	Index	Level	Opt
3
//HE===============================================================================================================
	0	2	7	13	13	15
	0	3	8	13	13	15
	0	4	9	13	13	15
	0	5	10	13	13	15
	0	6	11	13	13	15
	0	7	12	38	13	15
	0	8	13	67	0	0
//GM===============================================================================================================
	1	2	7	3	13	15
	1	3	8	3	13	15
	1	4	9	3	13	15
	1	5	10	3	13	15
	1	6	11	3	13	15
	1	7	12	37	13	15
	1	8	13	0	0	0
//BM===============================================================================================================
	2	2	7	1	13	15
	2	3	8	1	13	15
	2	4	9	1	13	15
	2	5	10	1	13	15
	2	6	11	1	13	15
	2	7	12	36	13	15
	2	8	13	64	0	0
//DS===============================================================================================================
	3	2	7	39	13	15
	3	3	8	39	13	15
	3	4	9	39	13	15
	3	5	10	39	13	15
	3	6	11	39	13	15
	3	7	12	43	13	15
	3	8	13	65	0	0
//LE===============================================================================================================
	4	2	7	15	13	15
	4	3	8	15	13	15
	4	4	9	15	13	15
	4	5	10	15	13	15
	4	6	11	15	13	15
	4	7	14	40	13	15
	4	8	13	1	0	0
//RF===============================================================================================================
	5	2	7	144	13	15
	5	3	8	144	13	15
	5	4	9	144	13	15
	5	6	11	144	13	15
	5	7	12	50	13	15
	5	8	13	1	0	0
end
//=================================================================================================================
//=================================================================================================================
// - 28	(Greater Damage), 27 (Greater Defense),  16 (Greater Mana Shield),  64 (Critical Damage)
// - 48	(Greater Life), 217 (Reflect), 82 (Magic Circle), 129 (Greater Ignore Defense Rate), 130 (Fitness)
// -
// - MAX SKILLS PER BOT = 5
// - BotIndex	Skill		Min	%PowerSkill (% aumento da skill)


4
	0	28		5	30	//Buffer HE
	1	82		5	30	//Buffer GM
	2	48		5	30	//Buffer BM
	3	217		5	30	//Buffer DS
	4	64		5	30	//Buffer LE
	5	130		5	30	//Buffer FM
end
//=================================================================================================================
//=================================================================================================================
