00:08:36 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
00:25:20 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
01:39:57 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
02:11:31 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
02:56:14 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
03:20:39 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
03:57:24 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
04:11:09 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
10:50:06 [AccountInfo] Account connected (Account: wagner43, IpAddress: 177.200.71.241, GameServerCode: 0)
11:12:13 [AccountInfo] Account disconnected (Account: wagner43, IpAddress: 177.200.71.241, GameServerCode: 0)
11:12:43 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
12:22:39 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
13:03:34 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
14:05:29 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
14:18:07 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
16:23:53 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
19:09:03 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
19:11:10 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
19:11:20 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
19:12:08 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
19:12:24 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
19:13:09 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
19:13:17 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
19:20:11 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
20:41:42 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
21:12:00 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
21:16:08 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
