12:44:05 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
12:44:51 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
14:29:54 [AccountInfo] Account connected (Account: samuraix, IpAddress: 187.7.47.230, GameServerCode: 0)
14:46:12 [AccountInfo] Account disconnected (Account: samuraix, IpAddress: 187.7.47.230, GameServerCode: 0)
19:26:58 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
19:33:47 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
19:34:09 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
19:51:14 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
19:52:57 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
19:57:49 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
20:32:08 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:32:58 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
20:34:23 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:16:07 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
21:31:49 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
22:10:05 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
22:32:32 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.236, GameServerCode: 0)
22:52:37 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
22:53:17 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
23:30:15 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
