10:40:22 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
12:51:44 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
13:37:48 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
14:13:10 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
21:51:34 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
21:52:52 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
21:53:00 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
21:54:59 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
22:18:43 [AccountInfo] Account connected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
22:20:34 [AccountInfo] Account disconnected (Account: felipe, IpAddress: 177.200.72.252, GameServerCode: 0)
22:31:10 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
23:23:07 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
23:23:19 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
23:50:42 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
