11:47:10 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.151, GameServerCode: 0)
11:53:54 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.151, GameServerCode: 0)
17:06:06 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
17:21:52 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
17:22:12 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
17:23:10 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
17:24:32 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
18:53:13 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
18:54:41 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
19:04:38 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
19:05:05 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
20:28:32 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.34, GameServerCode: 0)
20:28:58 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
20:32:04 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
20:34:12 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
20:48:28 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
20:49:06 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
20:52:34 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
21:31:07 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
21:31:52 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
21:34:23 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
21:35:16 [AccountInfo] Account connected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:42:57 [AccountInfo] Account disconnected (Account: dedaolip, IpAddress: 177.200.72.252, GameServerCode: 0)
21:44:28 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
21:45:52 [AccountInfo] Account connected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
22:15:59 [AccountInfo] Account disconnected (Account: fajusto, IpAddress: 177.74.186.78, GameServerCode: 0)
