12:51:25 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
13:44:20 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
13:44:44 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
14:36:40 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
14:51:00 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
14:58:37 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
15:02:03 [AccountInfo] Account disconnected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
15:02:44 [AccountInfo] Account connected (Account: bordignon, IpAddress: 168.227.226.253, GameServerCode: 0)
15:10:00 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
15:44:48 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
15:44:51 [AccountInfo] Account connected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
16:23:40 [AccountInfo] Account disconnected (Account: pasqua, IpAddress: 189.47.250.62, GameServerCode: 0)
19:22:14 [AccountInfo] Account connected (Account: renancoxa, IpAddress: 189.47.68.221, GameServerCode: 0)
23:38:16 [AccountInfo] Account disconnected (Account: renancoxa, IpAddress: 189.47.68.221, GameServerCode: 0)
